Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_Expansion3DIcon,"Expansion 3D Icon","Expansion 3D Icon","Expansion 3D Icon","Expansion 3D Icon","Expansion 3D Иконка","Expansion 3D Ikona","Expansion 3D Icon","Expansion 3D Icon","Expansion 3D Icon","Icône du marqueur 3D Expansion","Expansion 3D图标","Expansion 3D Icon","Expansion 3D Icon","Expansion 3D图标",
STR_GlobalPvEZoneDays,"Global PvE Days","Global PvE Days","Global PvE Days","Global PvE Days","Глобальные дни PVE","Globalne dni PvE","Global PvE Days","Global PvE Days","Global PvE Days","Jours Globaux PvE","全球 PvE 日","Global PvE Days","Global PvE Days","全球 PvE 日",
STR_GlobalPvPZoneDays,"Global PvP Days","Global PvP Days","Global PvP Days","Global PvP Days","Дни глобального PvP","Globalne dni PvP","Global PvP Days","Global PvP Days","Global PvP Days","Jours Globaux PvP","全球 PvP 日","Global PvP Days","Global PvP Days","全球 PvP 日",
STR_PvEZoneExitCountDownTitle,"PvE Exit Countdown","PvE Exit Countdown","PvE Exit Countdown","PvE Exit Countdown","Отсчет выхода из PvE (сек.)","Odliczanie wyjścia z PvE (sek.)","PvE Exit Countdown","PvE Exit Countdown","PvE Exit Countdown","Compte à rebours de sortie PvE (secs)","PvP退出倒计时（秒）","PvE Exit Countdown","PvE Exit Countdown","PvP退出倒计时（秒",
STR_IconPosPreviewModule,"Icon Preview Position + Change","Icon Preview Position + Change","Icon Preview Position + Changen","Icon Preview Position + Changen","Позиция иконки","Pozycja ikony","Icon Preview Position + Changen","Icon Preview Position + Changen","Icon Preview Position + Changen","Prévisu Icon Position + Change","图标预览位置+更改","Icon Preview Position + Changen","Icon Preview Position + Change","图标预览位置+更改",
STR_DisableActionBlockForAdmins,"Disable action blocking for Admins","Disable action blocking for Admins","Disable action blocking for Admins","Disable action blocking for Admins","Игнорировать ограничения (админы)","Ignorowanie ograniczeń (admini)","Disable action blocking for Admins","Disable action blocking for Admins","Disable action blocking for Admins","Désactiver blocage d'action pour les admins","禁用管理员的动作阻止功能","Disable action blocking for Admins","Disable action blocking for Admins","禁用管理员的动作阻止功能",
STR_EnableTKKOTHZoneCreationTitle,"Enable Three Kings KOTH","Enable Three Kings KOTH","Enable Three Kings KOTH","Enable Three Kings KOTH","Включить режим Three Kings KOTH","Włączyć tryb Three Kings KOTH","Enable Three Kings KOTH","Enable Three Kings KOTH","Enable Three Kings KOTH","Activer Three Kings KOTH","启用KOTH","Enable Three Kings KOTH","Enable Three Kings KOTH","启用KOTH",
STR_ZoneLabelOffsets,"Zone Label Offset (X,Z)","Zone Label Offset (X,Z)","Zone Label Offset (X,Z)","Zone Label Offset (X,Z)","Смещение метки зоны (X,Z)","Przesunięcie znacznika strefy (X,Z)","Zone Label Offset (X,Z)","Zone Label Offset (X,Z)","Zone Label Offset (X,Z)","Décalage du nom de la zone (X,Z)","区域标签偏移 (X,Z)","Zone Label Offset (X,Z)","Zone Label Offset (X,Z)","区域标签偏移 (X,Z)",
STR_ZoneLabelColorValue,"Zone Label Color","Zone Label Color","Zone Label Color","Zone Label Color","Цвет метки зоны","Kolor znacznika strefy","Zone Label Color","Zone Label Color","Zone Label Color","Couleur du nom de la zone","区域标签颜色","Zone Label Color","Zone Label Color","区域标签颜色",
STR_StrikeLineTransparencyTitle,"Strike line Transparency value in % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Прозрачность штриховой линии в % (0.0-1.0)","Przezroczystość linii przerywanej w % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Valeur de transparence Hachure en % (0,0-1,0)","线条透明度值 %（0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","Strike line Transparency value in % (0.0-1.0)","线条透明度值 %（0.0-1.0)",
STR_ExpansionReputationPenealtyPveEsPvE,"Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline Penalty (PvE shots PvE)","Штраф к репутации Expansion (PvE-PvE)","Kara do reputacji Expansion (PvE-PvE)","Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline Penalty (PvE shots PvE)","Pénalité Expansion Hardline (tirs PvE)","Expansion Hardline 惩罚（PvE 射击 PvE）","Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline Penalty (PvE shots PvE)","Expansion Hardline 惩罚（PvE 射击 PvE）",
STR_EnableExpansionReputationPenalty,"Enable Hardline Reputation Penalty","Enable Hardline Reputation Penalty","Enable Hardline Reputation Penalty","Enable Hardline Reputation Penalty","Вкл. штраф к репутации Expansion","Włącz karę do reputacji Expansion","Enable Hardline Reputation Penalty","Enable Hardline Reputation Penalty","Enable Hardline Reputation Penalty","Activater Pénalité Expansion Hardline (tirs PvE)","启用Expansion Hardline惩罚","Enable Hardline Reputation Penalty","Enable Hardline Reputation Penalty","启用Expansion Hardline惩罚",
STR_AlwaysAllowEnviroDmgValue,"Always allow Enviromental Damage to Vehicle","Always allow Enviromental Damage to Vehicle","Always allow Enviromental Damage to Vehicle","Always allow Enviromental Damage to Vehicle","Всегда разрешать урон по транспорту от окр.среды","Zawsze zezwalać na uszkodzenia transportu przez środowisko","Always allow Enviromental Damage to Vehicle","Always allow Enviromental Damage to Vehicle","Always allow Enviromental Damage to Vehicle","Toujours permettre dommages d'environnement au véhicule","始终允许对车辆造成环境破坏","Always allow Enviromental Damage to Vehicle","Always allow Enviromental Damage to Vehicle","始终允许对车辆造成环境破坏",
STR_ExpansionHardlinePenalty,"Expansion Hardline Penalty","Expansion Hardline Penalty","Expansion Hardline Penalty","Expansion Hardline Penalty","Штраф к репутации Expansion","Kara do reputacji Expansion","Expansion Hardline Penalty","Expansion Hardline Penalty","Expansion Hardline Penalty","Pénalité Expansion Hardline","Expansion Hardline 惩罚","Expansion Hardline Penalty","Expansion Hardline Penalty","Expansion Hardline 惩罚",
STR_HideWhenNested,"Hide Zone drawing","Hide Zone drawing","Hide Zone drawing","Hide Zone drawing","Скрыть отрисовку зон","Ukryć renderowanie stref","Hide Zone drawing","Hide Zone drawing","Hide Zone drawing","Masquer zone tracée","隐藏区域绘图","Hide Zone drawing","Hide Zone drawing","隐藏区域绘图",
STR_RobberyTitle,"## Robbery Settings ##","## Robbery Settings ##","## Robbery Settings ##","## Robbery Settings ##","## Настройки ограбления ##","## Ustawienia rabunku ##","## Robbery Settings ##","## Robbery Settings ##","## Robbery Settings ##","## Paramètres Pillage ##","抢劫设置","## Robbery Settings ##","Robbery Settings","抢劫设置",
STR_LB_ATMRobberyOnlyinPvP,"Only allow LB ATM robbery in PvP","Only allow LB ATM robbery in PvP","Only allow LB ATM robbery in PvP","Only allow LB ATM robbery in PvP","Грабить банкоматы LB можно только в PvP","Rabowanie bankomatów LB dozwolone tylko w PvP","Only allow LB ATM robbery in PvP","Only allow LB ATM robbery in PvP","Only allow LB ATM robbery in PvP","N'autoriser le pillage d'ATM LB qu'en PvP","只允许在 PvP 中抢LB ATM","Only allow LB ATM robbery in PvP","Only allow LB ATM robbery in PvP","只允许在 PvP 中抢LB ATM",
STR_LB_ATMRobberyZoneCreation,"Enable Zone creation for LB ATM robbery","Enable Zone creation for LB ATM robbery","Enable Zone creation for LB ATM robbery","Enable Zone creation for LB ATM robbery","Включить создание зон для ограбления банкоматов LB","Włączyć tworzenie stref dla rabowania bankomatów LB","Enable Zone creation for LB ATM robbery","Enable Zone creation for LB ATM robbery","Enable Zone creation for LB ATM robbery","Activer création de zones pour le pillage d'ATM LB","启用 LB ATM 抢劫区域创建","Enable Zone creation for LB ATM robbery","Enable Zone creation for LB ATM robbery","启用 LB ATM 抢劫区域创建",
STR_Infoext3,"ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick sets NoLogOut POS","ALT + Двойной клик устанавливает позицию NoLogOut.","ALT + Podwójne kliknięcie ustawia pozycję NoLogOut","ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick sets NoLogOut POS","ALT+Doubleclick donne position NoLogOut","ALT+Doubeclick 设置禁止下线 POS","ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick sets NoLogOut POS","ALT+Doubeclick 设置禁止下线 POS",
STR_NoLogOut,"No Logout Zone","No Logout Zone","No Logout Zone","No Logout Zone","Зона NoLogOut","Strefa NoLogOut","No Logout Zone","No Logout Zone","No Logout Zone","Zone Non Logout","禁止下线区域","No Logout Zone","No Logout Zone","禁止下线区域",
STR_NoLogOutTeleportPos,"No LogOut Teleport Position X,Y,Z","No LogOut Teleport Position X,Y,Z","No LogOut Teleport Position X,Y,Z","No LogOut Teleport Position X,Y,Z","Телепорт из зоны LogOut X,Y,Z","Teleportacja ze strefy LogOut X,Y,Z","No LogOut Teleport Position X,Y,Z","No LogOut Teleport Position X,Y,Z","No LogOut Teleport Position X,Y,Z","Non LogOut Position Teleportation X,Y,Z","禁止下线传送位置 X、Y、Z","No LogOut Teleport Position X,Y,Z","No LogOut Teleport Position X,Y,Z","禁止下线传送位置 X、Y、Z",
STR_DynamicZoneRemovalRetrySecondsPanel,"CleanUp delay in seconds for Dynamic Zones if still player inside","CleanUp delay in seconds for Dynamic Zones if still player inside","CleanUp delay in seconds for Dynamic Zones if still player inside","CleanUp delay in seconds for Dynamic Zones if still player inside","Задержка очистки зоны, если внутри находится игрок","Opóźnienie czyszczenia strefy, jeśli znajduje się w niej gracz","CleanUp delay in seconds for Dynamic Zones if still player inside","CleanUp delay in seconds for Dynamic Zones if still player inside","CleanUp delay in seconds for Dynamic Zones if still player inside","Délai (secs) nettoyage Zones Dynamiques même si il y reste des joueurs","如果仍有玩家在动态区域内，以秒为单位的清理延迟","CleanUp delay in seconds for Dynamic Zones if still player inside","CleanUp delay in seconds for Dynamic Zones if still player inside","如果仍有玩家在动态区域内，以秒为单位的清理延迟",
STR_RemoveDynamicZoneOnlyifNoPlayerInside,"Only Remove Dynamic Zone when no Player is inside","Only Remove Dynamic Zone when no Player is inside","Only Remove Dynamic Zone when no Player is inside","Only Remove Dynamic Zone when no Player is inside","Удалять зону только при отсутствии игроков внутри","Usuwanie strefy tylko przy braku graczy","Only Remove Dynamic Zone when no Player is inside","Only Remove Dynamic Zone when no Player is inside","Only Remove Dynamic Zone when no Player is inside","Ne supprimer la zone dynamique que si aucun joueur ne s'y trouve","只有当没有玩家在里面时才移除动态区域","Only Remove Dynamic Zone when no Player is inside","Only Remove Dynamic Zone when no Player is inside","只有当没有玩家在里面时才移除动态区域",
STR_AllowNoRelogOnServerCrashTitle,"On Server Crash use NoLogOut","On Server Crash use NoLogOut","On Server Crash use NoLogOut","On Server Crash use NoLogOut","При сбое сервера использовать NoLogOut","W przypadku awarii serwera użyj NoLogOut","On Server Crash use NoLogOut","On Server Crash use NoLogOut","On Server Crash use NoLogOut","En cas de crash serveur, utiliser NoLogOut","服务器崩溃时使用 “下线 ”功能","On Server Crash use NoLogOut","On Server Crash use NoLogOut","服务器崩溃时使用 “下线 ”功能",
STR_AllowedAmmoInPvEStateAdd,"Only allowed Ammo in PVE","Only allowed Ammo in PVE","Only allowed Ammo in PVE","Only allowed Ammo in PVE","Разрешенные боеприпасы в PvE","Dozwolone amunicja w PvE","Only allowed Ammo in PVE","Only allowed Ammo in PVE","Only allowed Ammo in PVE","Seules les munitions autorisées en PvE","只允许在 PVE 中使用弹药","Only allowed Ammo in PVE","Only allowed Ammo in PVE","只允许在 PVE 中使用弹药",
STR_OnlinePlayers,"Online Players","Online Players","Online Players","Online Players","Список игроков в сети","Lista graczy online","Online Players","Online Players","Online Players","Joueurs connectés","在线玩家","Online Players","Online Players","在线玩家",
STR_AllowedRaidingPlayersList,"Allowed Raiding Players","Allowed Raiding Players","Allowed Raiding Players","Allowed Raiding Players","Игроки, которым разрешено участвовать в рейдах","Gracze, którzy mogą brać udział w RAIDach","Allowed Raiding Players","Allowed Raiding Players","Allowed Raiding Players","Joueurs autorisés à Raid","允许突袭玩家","Allowed Raiding Players","Allowed Raiding Players","允许突袭玩家",
STR_AddPlayer,"Add Player","Add Player","Add Player","Add Player","Добавить игрока","Dodaj gracza","Add Player","Add Player","Add Player","Ajouter un joueur","添加玩家","Add Player","Add Player","添加玩家",
STR_RemovePlayer,"Remove Player","Remove Player","Remove Player","Remove Player","Удалить игрока","Usuń gracza","Remove Player","Remove Player","Remove Player","Retirer le joueur","删除玩家","Remove Player","Remove Player","删除玩家",
STR_RefreshList,"Refresh","Refresh","Refresh","Refresh","Обновить","Aktualizuj","Refresh","Refresh","Refresh","Actualiser","刷新","Refresh","Refresh","刷新",
STR_ItemRulesNotInit,"No Itemrules Initialized Message","No Itemrules Initialized Message","No Itemrules Initialized Message","No Itemrules Initialized Message","Правила предметов: нет стартового сообщения","Zasady dotyczące przedmiotów: brak wiadomości początkowej","No Itemrules Initialized Message","No Itemrules Initialized Message","No Itemrules Initialized Message","Pas de msg sur l'init des Règles objets","无物品规则初始消息","No Itemrules Initialized Message","No Itemrules Initialized Message","无物品规则初始消息",
STR_RaidDeployBlockMessage,"Raid Deploy Block Message","Raid Deploy Block Message","Raid Deploy Block Message","Raid Deploy Block Message","Сообщение о блокировке рейда","Wiadomość o blokadzie RAIDa","Raid Deploy Block Message","Raid Deploy Block Message","Raid Deploy Block Message","Message blocage de déploiement en Raid","突袭部署阻止信息","Raid Deploy Block Message","Raid Deploy Block Message","突袭部署阻止信息",
STR_PvPDeployBlockMessage,"PvP Deploy Block Message","PvP Deploy Block Message","PvP Deploy Block Message","PvP Deploy Block Message","Сообщение о блокировке PvP","Wiadomość o blokadzie PvP","PvP Deploy Block Message","PvP Deploy Block Message","PvP Deploy Block Message","Message blocage de déploiement en PvP","PvP 部署阻止信息","PvP Deploy Block Message","PvP Deploy Block Message","PvP 部署阻止信息",
STR_PvEDeployBlockMessage,"PVE Deploy Block Message","PVE Deploy Block Message","PVE Deploy Block Message","PVE Deploy Block Message","Сообщение о блокировке PvE","Wiadomość o blokadzie PvE","PVE Deploy Block Message","PVE Deploy Block Message","PVE Deploy Block Message","Message blocage de déploiement en PvE","PVE 部署阻止信息","PVE Deploy Block Message","PVE Deploy Block Message","PVE 部署阻止信息",
STR_SafeZOneDeployBlockMessage,"Safe-Zone Deploy Block Message","Safe-Zone Deploy Block Message","Safe-Zone Deploy Block Message","Safe-Zone Deploy Block Message","Сообщение о блокировке действий в безопасной зоне","Wiadomość o blokadzie działań w bezpiecznej strefie","Safe-Zone Deploy Block Message","Safe-Zone Deploy Block Message","Safe-Zone Deploy Block Message","Message blocage de déploiement en Safe-Zone","安全区部署阻止信息","Safe-Zone Deploy Block Message","Safe-Zone Deploy Block Message","安全区部署阻止信息",
STR_DeployBLockMessagePanel,"Deploy Block Message Settings","Deploy Block Message Settings","Deploy Block Message Settings","Deploy Block Message Settings","Настройки сообщений о блокировке действий","Ustawienia wiadomości o blokadzie działań","Deploy Block Message Settings","Deploy Block Message Settings","Deploy Block Message Settings","Configuration Message blocage de déploiement","部署拦截信息设置","Deploy Block Message Settings","Deploy Block Message Settings","部署拦截信息设置",
STR_LBMaster,"LB Master Mod Settings","LB Master Mod Settings","LB Master Mod Settings","LB Master Mod Settings","Главные параметры мода LB","Główne parametry moda LB","LB Master Mod Settings","LB Master Mod Settings","LB Master Mod Settings","Réglages pour LB Master","LB Master Mod 设置","LB Master Mod Settings","LB Master Mod Settings","LB Master Mod 设置",
STR_VPPAdminSettings,"VPP Admin Map Settings","VPP Admin Map Settings","VPP Admin Map Settings","VPP Admin Map Settings","Настройки карты администратора VPP","Ustawienia mapy administratora VPP","VPP Admin Map Settings","VPP Admin Map Settings","VPP Admin Map Settings","Réglages pour VPP Admin Map","VPP Admin Map 设置","VPP Admin Map Settings","VPP Admin Map Settings","VPP Admin Map 设置",
STR_CommunityOnlineToolsSettings,"CoT Settings","CoT Settings","CoT Settings","CoT Settings","Настройки CoT","Ustawienia CoT","CoT Settings","CoT Settings","CoT Settings","Réglages pour CoT","CoT 设置","CoT Settings","CoT Settings","CoT 设置",
STR_AllowedAmmoandItem,"Allowed Ammo/Weapon PVE","Allowed Ammo/Weapon PVE","Allowed Ammo/Weapon PVE","Allowed Ammo/Weapon PVE","Разрешённые аммуниция и оружие в PvE","Dozwolona amunicja i broń w PvE","Allowed Ammo/Weapon PVE","Allowed Ammo/Weapon PVE","Allowed Ammo/Weapon PVE","Autoriser Munitions / Armes PvE","允许的弹药/武器 PVE","Allowed Ammo/Weapon PVE","Allowed Ammo/Weapon PVE","允许的弹药/武器 PVE",
STR_IconColor,"Icon Color (PvP, PvE, Raid, SafeZone)","Icon Color (PvP, PvE, Raid, SafeZone)","Icon Color (PvP, PvE, Raid, SafeZone)","Icon Color (PvP, PvE, Raid, SafeZone)","Цвет иконки (PvP, PvE, Рейд, Безопасная зона)","Kolor ikony (PvP, PvE, RAID, Bezpieczna strefa)","Icon Color (PvP, PvE, Raid, SafeZone)","Icon Color (PvP, PvE, Raid, SafeZone)","Icon Color (PvP, PvE, Raid, SafeZone)","Couleur des Icônes (PvP, PvE, Raid, SafeZone)","图标颜色（PvP、PvE、突袭、安全区）","Icon Color (PvP, PvE, Raid, SafeZone)","Icon Color (PvP, PvE, Raid, SafeZone)","图标颜色（PvP、PvE、突袭、安全区）",
STR_AddtoBlockedItemPvP,"Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Блокировка урона по предмету в PvP","Blokowanie obrażeń dla przedmiotu w PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Ajouter aux objets non altérables en PvP","在 PvP 中阻止对物品造成伤害","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","在 PvP 中阻止对物品造成伤害",
STR_AddtoBlockedItemPvE,"Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Блокировка урона по предмету в PvE","Blokowanie obrażeń dla przedmiotu w PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Ajouter aux objets non altérables en PvE","在 PvE 中阻止对物品造成伤害","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","在 PvE 中阻止对物品造成伤害",
STR_ItemCantBeDamagedinPvE,"Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Блокировка урона по предмету в PvE","Blokowanie obrażeń dla przedmiotu w PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","Les objets ne peuvent pas être altérés en PvE","在 PvE 中阻止对物品造成伤害","Damage Blocked to Item in PvE","Damage Blocked to Item in PvE","在 PvE 中阻止对物品造成伤害",
STR_ItemCantBeDamagedinPvP,"Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Блокировка урона по предмету в PvP","Blokowanie obrażeń dla przedmiotu w PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","Les objets ne peuvent pas être altérés en PvP","在 PvP 中阻止对物品造成伤害","Damage Blocked to Item in PvP","Damage Blocked to Item in PvP","在 PvP 中阻止对物品造成伤害",
STR_BlockItemDamageStateorZones,"Item Damage Blocked PvP/PVE based on Player State or Zone","Item Damage Blocked PvP/PVE based on Player State or Zone","Item Damage Blocked PvP/PVE based on Player State or Zone","Item Damage Blocked PvP/PVE based on Player State or Zone","Защита предмета (PvP/PvE): зависит от зоны/статуса","Ochrona przedmiotu (PvP/PvE): zależy od strefy/statusu","Item Damage Blocked PvP/PVE based on Player State or Zone","Item Damage Blocked PvP/PVE based on Player State or Zone","Item Damage Blocked PvP/PVE based on Player State or Zone","Dégâts objets bloqués PvP/PvE en fonction état joueur ou Zone","根据玩家状态或区域阻止的 PvP/PVE 物品伤害","Item Damage Blocked PvP/PVE based on Player State or Zone","Item Damage Blocked PvP/PVE based on Player State or Zone","根据玩家状态或区域阻止的 PvP/PVE 物品伤害",
STR_SearchBoxXMLNameSearch,"Search","Search","Search","Search","Поиск","Wyszukiwanie","Search","Search","Search","Rechercher","搜索","Search","Search","搜索",
STR_SearchItemMapBtn,"Show on Map","Show on Map","Show on Map","Show on Map","Отметить на карте","Zaznacz na mapie","Show on Map","Show on Map","Show on Map","Montrer sur la carte","显示在地图上","Show on Map","Show on Map","显示在地图上",
STR_FoundItemsButtonCopyCLipBoardCoords,"Copy all found Items","Copy all found Items","Copy all found Items","Copy all found Items","Копировать всё","Kopiuj wszystko","Copy all found Items","Copy all found Items","Copy all found Items","Copier tous les objets trouvés","复制所有找到的物品","Copy all found Items","Copy all found Items","复制所有找到的物品",
STR_FilterVehiclesBtn,"VEHICLES","VEHICLES","VEHICLES","VEHICLES","Транспорт","Transport","VEHICLES","VEHICLES","VEHICLES","VEHICULES","载具","VEHICLES","VEHICLES","载具",
STR_FilterWeaponsBtn,"WEAPONS","WEAPONS","WEAPONS","WEAPONS","Вооружение","Uzbrojenie","WEAPONS","WEAPONS","WEAPONS","ARMES","武器","WEAPONS","WEAPONS","武器",
STR_FilterItemsBtn,"Items","Items","Items","Items","Предметы","Przedmioty","Items","Items","Items","OBJETS","物品","Items","Items","物品",
STR_FilterClothingBtn,"CLOTHING","CLOTHING","CLOTHING","CLOTHING","Экипировка","Wyposażenie","CLOTHING","CLOTHING","CLOTHING","VETEMENTS","衣服","CLOTHING","CLOTHING","衣服",
STR_FilterAllBtn,"ALL","ALL","ALL","ALL","Все предметы","Wszystkie przedmioty","ALL","ALL","ALL","TOUS","所有","ALL","ALL","所有",
STR_FilterFoodBtn,"FOOD","FOOD","FOOD","FOOD","Еда","Jedzenie","FOOD","FOOD","FOOD","NOURRITURE","食物","FOOD","FOOD","食物",
STR_FilterAIButton,"AI","AI","AI","AI","AI","AI","AI","AI","AI","AI","AI","AI","AI","AI",
STR_FilterMagazinesBtn,"Magazines","Magazines","Magazines","Magazines","Магазины","Sklepy","Magazines","Magazines","Magazines","CHARGEURS","弹匣","Magazines","Magazines","弹匣",
STR_FilterExpansionAIBtn,"EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI","EXP AI",
STR_ClearMapBtn,"Clear Map","Clear Map","Clear Map","Clear Map","Сбросить карту","Resetuj mapę","Clear Map","Clear Map","Clear Map","Nettoyer la carte","清除地图","Clear Map","Clear Map","清除地图",
STR_SafeZoneAnimalKillPanelTitle,"Kill Animals in Safe Zone","Kill Animals in Safe Zone","Kill Animals in Safe Zone","Kill Animals in Safe Zone","Удалять животных в безопасной зоне","Usuwanie zwierząt w bezpiecznej strefie","Kill Animals in Safe Zone","Kill Animals in Safe Zone","Kill Animals in Safe Zone","Eliminer les animaux en Safe Zone","Kill Animals in Safe Zone","Kill Animals in Safe Zone","Kill Animals in Safe Zone","Kill Animals in Safe Zone",
STR_DeleteItemsInSafeZoneTitle,"Delete Items in Safe Zone","Delete Items in Safe Zone","Delete Items in Safe Zone","Delete Items in Safe Zone","Удалять предметы в безопасной зоне","Usuwanie przedmiotów w bezpiecznej strefie","Delete Items in Safe Zone","Delete Items in Safe Zone","Delete Items in Safe Zone","Eliminer les objets en Safe Zone","Delete Items in Safe Zone","Delete Items in Safe Zone","Delete Items in Safe Zone","Delete Items in Safe Zone",
STR_SZItemCleanUpIntervalTitle,"Item deletion interval (secs)","Item deletion interval (secs)","Item deletion interval (secs)","Item deletion interval (secs)","Интервал удаления предметов (сек)","Interwał usuwania przedmiotów (sek.)","Item deletion interval (secs)","Item deletion interval (secs)","Item deletion interval (secs)","Délai élimination des objets (secs)","Item deletion interval (secs)","Item deletion interval (secs)","Item deletion interval (secs)","Item deletion interval (secs)",
STR_SZItemWhiteListList,"SZ Items Whitelist","SZ Items Whitelist","SZ Items Whitelist","SZ Items Whitelist","Белый список предметов для сейвзоны","Biała lista przedmiotów dla bezpiecznej strefy","SZ Items Whitelist","SZ Items Whitelist","SZ Items Whitelist","Liste blanche objets en SZ","SZ Items Whitelist","SZ Items Whitelist","SZ Items Whitelist","SZ Items Whitelist",
STR_AddSZWhitelist,"SZ Whitelist","SZ Whitelist","SZ Whitelist","SZ Whitelist","Белый список сейвзоны","Biała lista bezpiecznej strefy","SZ Whitelist","SZ Whitelist","SZ Whitelist","Liste blanche en SZ","SZ Whitelist","SZ Whitelist","SZ Whitelist","SZ Whitelist",
STR_PaintballAllowedItems,"Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Пейнтбольные патроны и оружие (PvE)","Kulki i broń do paintballa (PvE)","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Armes et munitions Paintball PVE","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE","Paintball Ammo/Gun PVE",
STR_BtnAddPaintballAmmo,"Paintball","Paintball","Paintball","Paintball","Пейнтбол","Paintball","Paintball","Paintball","Paintball","Paintball","Paintball","Paintball","Paintball","Paintball",
STR_ShowPvPZones,"Show PvP Zones","Show PvP Zones","Show PvP Zones","Show PvP Zones","Показывать PvP зоны","Wyświetlanie stref PvP","Show PvP Zones","Show PvP Zones","Show PvP Zones","Afficher les Zones PvP","Show PvP Zones","Show PvP Zones","Show PvP Zones","Show PvP Zones",
STR_ShowPvEZones,"Show PvE Zones","Show PvE Zones","Show PvE Zones","Show PvE Zones","Показывать PvE зоны","Wyświetlanie stref PvE","Show PvE Zones","Show PvE Zones","Show PvE Zones","Afficher les Zones PvE","Show PvE Zones","Show PvE Zones","Show PvE Zones","Show PvE Zones",
STR_ShowRaidZones,"Show Raid Zones","Show Raid Zones","Show Raid Zones","Show Raid Zones","Показывать зоны рейдов","Wyświetlanie stref RAID","Show Raid Zones","Show Raid Zones","Show Raid Zones","Afficher les Zones Raid","Show Raid Zones","Show Raid Zones","Show Raid Zones","Show Raid Zones",
STR_ShowSafeZones,"Show Safe Zones","Show Safe Zones","Show Safe Zones","Show Safe Zones","Показывать безопасные зоны","Wyświetlanie bezpiecznych stref","Show Safe Zones","Show Safe Zones","Show Safe Zones","Afficher les Zones Safe","Show Safe Zones","Show Safe Zones","Show Safe Zones","Show Safe Zones",
STR_ShowPaintBallZones,"Show Paintball Zones","Show Paintball Zones","Show Paintball Zones","Show Paintball Zones","Показать зоны для пейнтбола","Wyświetlanie stref dla paintballa","Show Paintball Zones","Show Paintball Zones","Show Paintball Zones","Afficher les Zones Paintball","Show Paintball Zones","Show Paintball Zones","Show Paintball Zones","Show Paintball Zones",
STR_ShowVisualZones,"Show Visual Zones","Show Visual Zones","Show Visual Zones","Show Visual Zones","Показать визуальные зоны","Wyświetlanie wizualnych stref","Show Visual Zones","Show Visual Zones","Show Visual Zones","Afficher les Zones Visuelles","Show Visual Zones","Show Visual Zones","Show Visual Zones","Show Visual Zones",
STR_ShowZoneLabels,"Show Zone Labels","Show Zone Labels","Show Zone Labels","Show Zone Labels","Показать метки зон","Wyświetlanie znaczników stref","Show Zone Labels","Show Zone Labels","Show Zone Labels","Afficher les Zones étiquetées","Show Zone Labels","Show Zone Labels","Show Zone Labels","Show Zone Labels",
